CATEGORIA,PRODUCTO,PRECIO,CANTIDAD,FECHA,CLIENTE
INFORMÁTICA,Notebook Samsung,604346.37,1,01/01/2024,ANA
MUEBLES,Sofá 3 lugares,428857.77,1,05/01/2024,ANA
LIBROS,Clean Architecture,17651.79,2,08/01/2024,ANA
MUEBLES,Mesa para cenar 6 lugares,631089.94,1,06/01/2024,ELI
CELULARES,iPhone 16 Pro,1574079.55,6,13/01/2024,ANA
INFORMÁTICA,Monitor Dell 27,324044.93,3,04/01/2024,DANI
LIBROS,Implementing Domain-Driven Design,24714.22,3,10/01/2024,GABI
AUTOMOTOR,Juego de neumáticos,219024.52,1,15/01/2024,BIA
LIBROS,Clean Code,16325.76,1,09/01/2024,BIA
CELULARES,Galaxy S24 Ultra,1466539.18,5,14/01/2024,DANI
INFORMÁTICA,Macbook Pro 16,5446836.73,1,03/01/2024,CAIO
LIBROS,Refactoring Improving the Design of Existing Code,29831.35,1,12/01/2024,DANI
MUEBLES,Cama queen size,531783.63,2,07/01/2024,DANI
AUTOMOTOR,Central multimedia,121998.03,1,16/01/2024,CAIO
LIBROS,Building Microservices,51510.96,2,11/01/2024,CAIO
INFORMÁTICA,Galaxy Tab S10,1018811.67,4,02/01/2024,BIA